id,experiment,trial,manipulation,item,correct
id84,Experiment 1a,3,Test - Look,Cat,1
id84,Experiment 1a,4,Test - Look + Label,Monkey,1
id84,Experiment 1a,5,Test - Point + Label,Sheep,1
id84,Experiment 1a,6,Test - Point,Bear,1
id84,Experiment 1a,7,Test - Look,Frog,0
id84,Experiment 1a,8,Test - Point,Mouse,1
id86,Experiment 1a,1,Test - Point,Frog,0
id86,Experiment 1a,2,Test - Look + Label,Bunny,1
id86,Experiment 1a,3,Test - Look,Pig,1
id86,Experiment 1a,4,Test - Point + Label,Mouse,1
id86,Experiment 1a,5,Test - Look + Label,Bear,1
id86,Experiment 1a,6,Test - Point + Label,Sheep,1
id86,Experiment 1a,7,Test - Point,Elephant,1
id86,Experiment 1a,8,Test - Look,Monkey,1
id96,Experiment 1a,1,Test - Look + Label,Elephant,1
id96,Experiment 1a,2,Test - Look,Dog,1
id96,Experiment 1a,3,Test - Point,Pig,1
id96,Experiment 1a,4,Test - Point + Label,Mouse,1
id96,Experiment 1a,5,Test - Point + Label,Sheep,1
id96,Experiment 1a,6,Test - Point,Cat,1
id96,Experiment 1a,7,Test - Look,Monkey,1
id96,Experiment 1a,8,Test - Look + Label,Frog,1
id97,Experiment 1a,1,Test - Point,Elephant,1
id97,Experiment 1a,2,Test - Point + Label,Cat,1
id97,Experiment 1a,3,Test - Point + Label,Bunny,1
id97,Experiment 1a,4,Test - Look + Label,Monkey,1
id97,Experiment 1a,5,Test - Point,Pig,1
id97,Experiment 1a,6,Test - Look,Mouse,1
id97,Experiment 1a,7,Test - Look + Label,Dog,1
id97,Experiment 1a,8,Test - Look,Frog,1
id100,Experiment 1a,1,Test - Look,Frog,1
id100,Experiment 1a,2,Test - Look + Label,Sheep,1
id100,Experiment 1a,3,Test - Look,Mouse,1
id100,Experiment 1a,4,Test - Point,Monkey,1
id100,Experiment 1a,5,Test - Point + Label,Pig,0
id100,Experiment 1a,6,Test - Point,Cat,1
id100,Experiment 1a,7,Test - Point + Label,Tiger,1
id100,Experiment 1a,8,Test - Look + Label,Bunny,1
id101,Experiment 1a,1,Test - Look,Mouse,1
id101,Experiment 1a,2,Test - Look + Label,Bunny,1
id101,Experiment 1a,3,Test - Point + Label,Frog,0
id101,Experiment 1a,4,Test - Point,Cat,1
id101,Experiment 1a,5,Test - Look + Label,Dog,1
id101,Experiment 1a,6,Test - Point + Label,Monkey,1
id101,Experiment 1a,7,Test - Point,Sheep,1
id101,Experiment 1a,8,Test - Look,Elephant,1
id111,Experiment 1a,1,Test - Look,Bunny,1
id111,Experiment 1a,2,Test - Point,Cat,0
id111,Experiment 1a,3,Test - Look,Mouse,0
id111,Experiment 1a,4,Test - Point,Monkey,1
id111,Experiment 1a,5,Test - Look + Label,Tiger,1
id111,Experiment 1a,6,Test - Look + Label,Dog,1
id111,Experiment 1a,7,Test - Point + Label,Bear,1
id111,Experiment 1a,8,Test - Point + Label,Elephant,1
id112,Experiment 1a,1,Test - Look + Label,Cat,1
id112,Experiment 1a,2,Test - Look,Mouse,1
id112,Experiment 1a,3,Test - Look,Tiger,1
id112,Experiment 1a,4,Test - Point,Bunny,1
id112,Experiment 1a,5,Test - Point + Label,Sheep,1
